database_track_id,source_track_id,database_track_name,track_id,artists,name
26305,1BApx7glGPbKRZ4Tqomd2f,شقطت منك حبيبتك ياعم,1BApx7glGPbKRZ4Tqomd2f,['حمو الطيخا'],شقطت منك حبيبتك ياعم
26443,1yDZtq2fIBeSSFvwgG4mOU,تعال,1yDZtq2fIBeSSFvwgG4mOU,['علي جاسم ومحمود التركي ومصطفى العبدالله'],تعال
26553,3jwBvFnQqVPO447lDtR1cx,体の芯からまだ燃えているんだ(Duet ver.),3jwBvFnQqVPO447lDtR1cx,['シン & ふうか'],体の芯からまだ燃えているんだ(Duet ver.)
26570,2dxyp4ycfgokHoFmeIZwg4,남자 남자야 - Instrumental,2dxyp4ycfgokHoFmeIZwg4,['하숙자'],남자 남자야 - Instrumental
26974,5ko89DUFQquXcReZAn1Dfy,只管向前 (2021黑松沙士年度主題曲),5ko89DUFQquXcReZAn1Dfy,['告五人'],只管向前 (2021黑松沙士年度主題曲)
27005,3klJzY5IoENZS1aAgDlqr3,don't kill,3klJzY5IoENZS1aAgDlqr3,['Джизус'],don't kill
27109,78FPldYLk2D5guNNJmVBc6,Возьми сердце моё,78FPldYLk2D5guNNJmVBc6,['Канги'],Возьми сердце моё
27137,4KjPt8HrShkDOASRyMkTJ4,帶我去找夜生活,4KjPt8HrShkDOASRyMkTJ4,['告五人'],帶我去找夜生活
27328,5kxeYsWK6nqyBe928myoA0,فيني مايكفيني,5kxeYsWK6nqyBe928myoA0,['بدر العزي'],فيني مايكفيني
27509,08OqW3py64l8TX5fLXrT8a,滿天星 - 偶像劇《狼王子》片尾曲,08OqW3py64l8TX5fLXrT8a,['李玉璽'],滿天星 - 偶像劇《狼王子》片尾曲
27564,12hJXnBH7nR6exYKMhqTkR,Искренность,12hJXnBH7nR6exYKMhqTkR,['Папин Олимпос'],Искренность
27593,6GgQvdM7wennj6Zq5wOlFM,"Любовь, Сигареты",6GgQvdM7wennj6Zq5wOlFM,['Мэвл'],"Любовь, Сигареты"
27721,3ZtHtqqSEKd8EcggroTfZU,ウエディング,3ZtHtqqSEKd8EcggroTfZU,['音田 雅則'],ウエディング
27929,4neYwcLQvLZ6kEdgF0cicX,شيماء,4neYwcLQvLZ6kEdgF0cicX,['يوسف سوسته'],شيماء
27949,2A15Xq5HPR2kIUhAC9Fg9P,أشكر جمالك,2A15Xq5HPR2kIUhAC9Fg9P,['عبدالله المخلص'],أشكر جمالك
28210,1jTOAjaP3OU6GrPURluA0s,мазохизм,1jTOAjaP3OU6GrPURluA0s,['вышел покурить'],мазохизм
